text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @CosmicRami: Oh the burn. #Telstra <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/w7hTfAxbaG,FALSE,0,NA,14/04/2016 8:13,FALSE,NA,7.20525E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",opa1420,43,TRUE,FALSE,NA,NA
What's the point of 3G? It's basically like having no signal #Telstra,FALSE,0,NA,14/04/2016 8:07,FALSE,NA,7.20524E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gussyboy81,0,FALSE,FALSE,NA,NA
"RT @MGRANT65: #Telstra
#hate
#auspol

Direct. Just like the church was in demanding you follow their diktat

@Telstra https://t.co/rKFjU5qv…",FALSE,0,NA,14/04/2016 8:02,FALSE,NA,7.20523E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",opa1420,7,TRUE,FALSE,NA,NA
@7NewsSydney @MarkFerguson_7 @Channel7 Is there a story on #Telstra? I'm watching the news,FALSE,0,7NewsSydney,14/04/2016 8:02,FALSE,7.20522E+17,7.20523E+17,156464691,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
@Y7News @7NewsSydney Is there a story on #Telstra tonight?,FALSE,0,Y7News,14/04/2016 7:58,FALSE,NA,7.20522E+17,63362429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
@9NewsAUS @9NewsSyd Is there a story on #Telstra tonight?,FALSE,0,9NewsAUS,14/04/2016 7:58,FALSE,NA,7.20522E+17,22993014,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
@9NewsSyd Is there a story on #Telstra tonight?,FALSE,0,9NewsSyd,14/04/2016 7:58,FALSE,NA,7.20522E+17,171802941,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
@7NewsSydney Is there a story about #Telstra tonight?,FALSE,0,7NewsSydney,14/04/2016 7:57,FALSE,NA,7.20521E+17,156464691,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",habboqueenswag,0,FALSE,FALSE,NA,NA
"RT @MundayJessica: Poor form, #Telstra  https://t.co/LZA32wcPoA",FALSE,0,NA,14/04/2016 7:56,FALSE,NA,7.20521E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AaronJParsons,5,TRUE,FALSE,NA,NA
"RT @MundayJessica: Poor form, #Telstra  https://t.co/LZA32wcPoA",FALSE,0,NA,14/04/2016 7:53,FALSE,NA,7.2052E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CPSUnion,5,TRUE,FALSE,NA,NA
Want the Nbn do go though this lot absolutely hopeless!! No business phone line for over two weeks #Telstra,FALSE,0,NA,14/04/2016 7:51,FALSE,NA,7.2052E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",daz4abba,0,FALSE,FALSE,NA,NA
"RT @MoranGreg: #Telstra have gone from supporting marriage equality, to withdrawing from the debate, to now supporting a plebiscite? @Telst…",FALSE,0,NA,14/04/2016 7:50,FALSE,NA,7.2052E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HyperConverg,1,TRUE,FALSE,NA,NA
"Poor form, #Telstra  https://t.co/LZA32wcPoA",FALSE,5,NA,14/04/2016 7:48,FALSE,NA,7.20519E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MundayJessica,5,FALSE,FALSE,NA,NA
Anyone in #sydney having #telstra issues? Specifically with data?,FALSE,0,NA,14/04/2016 7:33,FALSE,NA,7.20515E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IgniteDMktg,0,FALSE,FALSE,NA,NA
RT @domknight: I predict #Telstra will end up giving give free data to same-sex marriage supporters this Sunday https://t.co/h8Swm4BhHW,FALSE,0,NA,14/04/2016 7:32,FALSE,NA,7.20515E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",joseph_happ,29,TRUE,FALSE,NA,NA
"#jobs #jobsearch # #Telstra denies Catholic pressure forced it to abandon marriage equality campaign:  
      ... https://t.co/ipM5zSzUQt",FALSE,0,NA,14/04/2016 7:22,FALSE,NA,7.20513E+17,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",careerjett,0,FALSE,FALSE,NA,NA
"@MattGlassDarkly Erm, thanks. I'm expecting it to be as fraught as a call to #Telstra AND as long!",FALSE,1,MattGlassDarkly,14/04/2016 7:21,FALSE,7.20511E+17,7.20512E+17,1115740860,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",alisonsbread,0,FALSE,FALSE,NA,NA
#telstra https://t.co/7GLjVhmvdR,FALSE,0,NA,14/04/2016 7:21,FALSE,NA,7.20512E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Robadub1,0,FALSE,FALSE,NA,NA
"#Telstra have gone from supporting marriage equality, to withdrawing from the debate, to now supporting a plebiscite? @Telstra_news #auspol",FALSE,2,NA,14/04/2016 7:14,FALSE,NA,7.20511E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MoranGreg,1,FALSE,FALSE,NA,NA
Media placements are everything... #SSM #Telstra https://t.co/qAN9R6AEN3,FALSE,1,NA,14/04/2016 6:56,FALSE,NA,7.20506E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",simonlazenby,0,FALSE,FALSE,NA,NA
"RT @craigjack36: Has the Catholic Church sent the same threatening letter to Banks to stop them lending to Gays yet

#Telstra #auspol https…",FALSE,0,NA,14/04/2016 6:44,FALSE,NA,7.20503E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SheepofQueens,36,TRUE,FALSE,NA,NA
"I'll be taking my business elsewhere as soon as possible #Telstra. 

As for you Catholic Church, yet again you... https://t.co/g9TihD5cNy",FALSE,0,NA,14/04/2016 6:38,FALSE,NA,7.20502E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",JekyllHydeBar,0,FALSE,FALSE,NA,NA
@telstra continues to excel itself in sheer incompetence. Good job. #telstra #sarcasm #shitjob #incompetent.,FALSE,0,Telstra,14/04/2016 6:36,FALSE,NA,7.20501E+17,61636429,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",the_wraith99,1,FALSE,FALSE,NA,NA
