text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @RustyStainless: .#telstraoutage https://t.co/ox4x7PS9rw,FALSE,0,NA,11/04/2016 2:03,FALSE,NA,7.19345E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WingRecon,1,TRUE,FALSE,NA,NA
.#telstraoutage https://t.co/ox4x7PS9rw,FALSE,1,NA,11/04/2016 2:00,FALSE,NA,7.19344E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RustyStainless,1,FALSE,FALSE,NA,NA
@Telstra you fkn reckon??? How about every day for the last month?? #telstruggle #TelstraOutage https://t.co/Cs7Duc41nY,FALSE,1,Telstra,11/04/2016 1:44,FALSE,NA,7.1934E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AeonMinder,0,FALSE,FALSE,NA,NA
"@Telstra Actually according to YOUR LINK YOUR experiencing long delays!!
Priceless!! #telstraoutage #telstraoutoftheirminds #iwantadiscount",FALSE,0,Telstra,11/04/2016 1:16,FALSE,7.19326E+17,7.19333E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GeorgiaWesten,0,FALSE,FALSE,NA,NA
@Telstra Why is my bill more after a 2 week outage? #telstra #telstraoutage #telstrahopless #telstranoservice,FALSE,0,Telstra,11/04/2016 0:16,FALSE,NA,7.19318E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GeorgiaWesten,0,FALSE,FALSE,NA,NA
Gutted... Minutes to go in #AFLDogsHawks nail-biter @Telstra does it again @afl #TelstraOutage #aflapp https://t.co/JWHELYIX7C,FALSE,1,NA,10/04/2016 8:05,FALSE,NA,7.19074E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",krisvanston,0,FALSE,FALSE,NA,NA
@Telstra What is happening in Mont Albert Victoria? just been told we will have no internet for 3 days?! no info on website #TelstraOutage,FALSE,0,Telstra,9/04/2016 4:15,FALSE,NA,7.18653E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KateyPattinson,0,FALSE,FALSE,NA,NA
"We have no internet and no phone connection for the last 2 days. What's going on? Post code-6103, Rivervale, WA.#TelstraOutage",FALSE,0,NA,9/04/2016 4:12,FALSE,NA,7.18653E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sanran100,0,FALSE,FALSE,NA,NA
Dammit! My phone needs a bunch of app &amp; software updates AGAIN <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> Time for another #TelstraOutage so we get another #datafreeday #Telstra,FALSE,0,NA,9/04/2016 0:35,FALSE,NA,7.18598E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ramy_AK,0,FALSE,FALSE,NA,NA
RT @UWALawSchool: #TelstraOutage - Entitled to more than a free data day? Assoc/Prof Aviva Freilich explains https://t.co/kCqvigpdic https:…,FALSE,0,NA,9/04/2016 0:10,FALSE,NA,7.18592E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ejetech68,1,TRUE,FALSE,NA,NA
